Enabled,Strategy,Phase,ID,Name,Emoji,Rarity,Shape ID,Effect,Additional Effects,Requirement,Buy Price,Description,Status,Claude Notes
TRUE,common,add,milk,WARM MILK,🥛,common,uno,+10 to ALL cats,,,2,one treat keeps the bites away,Approved,
TRUE,placement,add,catnip,CATNIP,🌿,common,uno,+30 to cats in same ROW,,,3,eat. sleep. catnip. repeat.,Approved,
TRUE,placement,add,feather,FEATHER,🪶,common,uno,+30 to cats in same COL,,,3,light as a whisker,Approved,
TRUE,placement,add,box,BOX,🐱,common,trio,+30 to SURROUNDING cats,,,3,devil advocate,Approved,
TRUE,cat shape,mul,scratching_post,SCRATCHING POST,🪵,rare,duo,×2 L shaped cats,,,4,every scratch tells a story,Approved,
TRUE,cat shape,mul,kitten_toy,KITTEN TOY,🐾,rare,duo,×2 DUO shaped cats,,,5,small cat big dreams,Approved,
TRUE,cat shape,mul,cat_stretch,CAT STRETCH,🙆,rare,T,×2 T-shaped cats,,,5,yoga but make it cat,Approved,
TRUE,placement,mul,corner_napper,CORNER NAPPER,😴,rare,corner,x3 cats on CORNERS,,,6,best spots always taken,Approved,
TRUE,placement,add,window_perch,WINDOW PERCH,🪟,rare,straight,+50 to cats on EDGES,,,6,the world is a bird feeder,Approved,
TRUE,cat type,add,rainbow_bowl,RAINBOW BOWL,🌈,rare,trio,+30 per UNIQUE cat type,,,6,a cat for every color,Approved,
TRUE,misc,add,personal_space,PERSONAL SPACE,🫧,rare,chonk,+20 per EMPTY cell,,,6,less is more,Approved,
TRUE,misc,misc,sardine_tin,SARDINE TIN,🐟,epic,J,destroy one random surrounding cat from deck,,,7,something smells fishy...,Approved,
TRUE,misc,mul,wild_dice,WILD DICE,🎲,epic,Z,x3 one random cat,,,7,roll the bones,Approved,
TRUE,misc,misc,laser,LASER POINTER,🔴,epic,Z,copies the ability of one other random treat,,,7,the red dot never lies,Approved,
TRUE,misc,misc,jumping_ball,JUMPING BALL,,epic,straight,disable one random treat's requirement,,,7,,Approved,
TRUE,misc,misc,brownies,BROWNIES,🍫,epic,T,add a duplicate of one random surrounding cat to deck,,,7,tbd,Approved,
TRUE,misc,add,treat_pile,TREAT PILE,🍬,epic,cross,+20 per TREAT,,,7,more is more,Approved,
TRUE,misc,mul,lucky_paw,LUCKY PAW,🍀,epic,chonker,×4 one random cat ×½ others,,,7,fortune favors the bold,Approved,
TRUE,misc,mul,cat_nap_stack,CAT NAP STACK,😻,epic,chonkest,×1.5 per TREAT on board,,,8,strength in numbers,Approved,
TRUE,misc,mul,nap,POWER NAP,😴,epic,cross,×2 ALL cats,,NO OTHER TREAT,8,never stop napping,Approved,
TRUE,placement,add,cathouse,CATHOUSE,🏠,epic,chonk,+10 to SURROUNDING cats,Increases by 10 every time played,,8,neighbourhood watch,Approved,
TRUE,cat type,mul,frenzy,FRENZY BALL,🔮,epic,L,×3 SURROUNDING cats,,ALL SAME TYPE,8,purrfect for world domination,Approved,
TRUE,misc,mul,catnado,CATNADO,🌪️,legendary,chonk,×1.5 ALL cats,Increases by 0.1 every time played,,10,nothing can stop it now,Approved,
TRUE,cat type,mul,tuna_can,TUNA CAN,🥫,legendary,cross,×2 all ORANGE cats,,,10,the forbidden can,Approved,
TRUE,cat type,mul,shadow_feast,SHADOW FEAST,🌑,legendary,cross,×2 all BLACK cats,,,10,darkness is delicious,Approved,
TRUE,misc,misc,mirror,MIRROR,🪞,legendary,duo,apply all ADD treats again,,,10,twice as nice,Approved,
TRUE,misc,mul,all_or_nothing,ALL OR NOTHING,⚡,legendary,uno,×5 ALL cats,,BOARD FULL,10,go big or go home,Approved,
FALSE,,misc,cat_phone,CAT PHONE,📞,legendary,cross,overwrite the self ability with one random ability from backpack,,,15,calling in reinforcements,,
TRUE,majority,mul,pack_leader,PACK LEADER,🐱,epic,chonk,×2 to your MOST PLACED cat type,,,7,democracy but make it cats,Approved,
FALSE,,misc,siamese_twins,SIAMESE TWINS,👯,epic,chonk,change one random cat type to match adjacent cat,,,7,two of a kind,,
FALSE,,mul,yarn,YARN BALL,🧶,rare,L,,,,5,bag full of purr-fection,,
FALSE,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
